Signal Legend:

Key        Signal Name

0        = DATA_8861_before[15..0]
1        = RAM0_add[7..0]
2        = RAM0_wdata[15..0]
3        = RAM1_add[3..0]
4        = RAM1_wdata[31..0]
5        = sample_cnt[12..0]
6        = sample_cntset[12..0]
7        = trigger[15..0]
8        = ADS8861:ADS8861_inst|data_reg[15..0]
9        = sm_cnt[9..0]
10       = soc_system:u0|soc_system_onchip_memory2_0:onchip_memory2_0|readdata2[15..0]
11       = soc_system:u0|soc_system_onchip_memory2_1:onchip_memory2_1|readdata2[31..0]
12       = ADS8861:ADS8861_inst|data[15..0]
13       = ADS8861:ADS8861_inst|cnt[4..0]
14       = RAM0_write

Data Table:

Signals-> 0     1   2     3  4         5   6   7   8      9   10    11  12    13 14 

sample

-1024     -1738 154 -1738 2h 0000C350h 48  200 100 -1457  516 F936h 100 -1457 18 1  
-1023     -1738 154 -1738 2h 0000C350h 68  200 100 -1457  516 F936h 100 -1457 18 1  
-1022     -1738 154 -1738 2h 0000C350h 88  200 100 -1457  516 F936h 100 -1457 18 1  
-1021     -1738 154 -1738 2h 0000C350h 108 200 100 -1457  516 F936h 100 -1457 18 1  
-1020     -1738 154 -1738 2h 0000C350h 128 200 100 -1457  516 F936h 100 -1457 18 1  
-1019     -1738 154 -1738 2h 0000C350h 148 200 100 -1457  516 F936h 100 -1457 18 1  
-1018     -1738 154 -1738 2h 0000C350h 168 200 100 -1457  516 F936h 100 -1457 16 1  
-1017     -1738 154 -1738 2h 0000C350h 188 200 100 -1457  516 F936h 100 -1457 10 1  
-1016     -1738 154 -1738 2h 0000C350h 7   200 100 -1273  516 F936h 100 -1457 4  1  
-1015     -1457 155 -1457 2h 0000C350h 27  200 100 -1275  516 FA4Fh 100 -1275 18 1  
-1014     -1457 155 -1457 2h 0000C350h 47  200 100 -1275  516 FA4Fh 100 -1275 18 1  
-1013     -1457 155 -1457 2h 0000C350h 67  200 100 -1275  516 FA4Fh 100 -1275 18 1  
-1012     -1457 155 -1457 2h 0000C350h 87  200 100 -1275  516 FA4Fh 100 -1275 18 1  
-1011     -1457 155 -1457 2h 0000C350h 107 200 100 -1275  516 FA4Fh 100 -1275 18 1  
-1010     -1457 155 -1457 2h 0000C350h 127 200 100 -1275  516 FA4Fh 100 -1275 18 1  
-1009     -1457 155 -1457 2h 0000C350h 147 200 100 -1275  516 FA4Fh 100 -1275 18 1  
-1008     -1457 155 -1457 2h 0000C350h 167 200 100 -1275  516 FA4Fh 100 -1275 16 1  
-1007     -1457 155 -1457 2h 0000C350h 187 200 100 -251   516 FA4Fh 100 -1275 10 1  
-1006     -1457 155 -1457 2h 0000C350h 6   200 100 -171   516 FA4Fh 100 -1275 4  1  
-1005     -1275 156 -1275 2h 0000C350h 26  200 100 -176   516 FB0Dh 100 -176  18 1  
-1004     -1275 156 -1275 2h 0000C350h 46  200 100 -176   516 FB05h 100 -176  18 1  
-1003     -1275 156 -1275 2h 0000C350h 66  200 100 -176   516 FB05h 100 -176  18 1  
-1002     -1275 156 -1275 2h 0000C350h 86  200 100 -176   516 FB05h 100 -176  18 1  
-1001     -1275 156 -1275 2h 0000C350h 106 200 100 -176   516 FB05h 100 -176  18 1  
-1000     -1275 156 -1275 2h 0000C350h 126 200 100 -176   516 FB05h 100 -176  18 1  
-999      -1275 156 -1275 2h 0000C350h 146 200 100 -176   516 FB05h 100 -176  18 1  
-998      -1275 156 -1275 2h 0000C350h 166 200 100 -176   516 FB05h 100 -176  17 1  
-997      -1275 156 -1275 2h 0000C350h 186 200 100 -176   516 FB05h 100 -176  11 1  
-996      -1275 156 -1275 2h 0000C350h 5   200 100 -80    516 FB05h 100 -176  5  1  
-995      -176  157 -176  2h 0000C350h 25  200 100 -80    516 FB05h 100 -80   18 1  
-994      -176  157 -176  2h 0000C350h 45  200 100 -80    516 FF50h 100 -80   18 1  
-993      -176  157 -176  2h 0000C350h 65  200 100 -80    516 FF50h 100 -80   18 1  
-992      -176  157 -176  2h 0000C350h 85  200 100 -80    516 FF50h 100 -80   18 1  
-991      -176  157 -176  2h 0000C350h 105 200 100 -80    516 FF50h 100 -80   18 1  
-990      -176  157 -176  2h 0000C350h 125 200 100 -80    516 FF50h 100 -80   18 1  
-989      -176  157 -176  2h 0000C350h 145 200 100 -80    516 FF50h 100 -80   18 1  
-988      -176  157 -176  2h 0000C350h 165 200 100 -80    516 FF50h 100 -80   17 1  
-987      -176  157 -176  2h 0000C350h 185 200 100 944    516 FF50h 100 -80   11 1  
-986      -176  157 -176  2h 0000C350h 4   200 100 672    516 FF50h 100 -80   5  1  
-985      -80   158 -80   2h 0000C350h 24  200 100 675    516 FF50h 100 675   18 1  
-984      -80   158 -80   2h 0000C350h 44  200 100 675    516 FFB0h 100 675   18 1  
-983      -80   158 -80   2h 0000C350h 64  200 100 675    516 FFB0h 100 675   18 1  
-982      -80   158 -80   2h 0000C350h 84  200 100 675    516 FFB0h 100 675   18 1  
-981      -80   158 -80   2h 0000C350h 104 200 100 675    516 FFB0h 100 675   18 1  
-980      -80   158 -80   2h 0000C350h 124 200 100 675    516 FFB0h 100 675   18 1  
-979      -80   158 -80   2h 0000C350h 144 200 100 675    516 FFB0h 100 675   18 1  
-978      -80   158 -80   2h 0000C350h 164 200 100 675    516 FFB0h 100 675   17 1  
-977      -80   158 -80   2h 0000C350h 184 200 100 1699   516 FFB0h 100 675   11 1  
-976      -80   158 -80   2h 0000C350h 3   200 100 1059   516 FFB0h 100 675   5  1  
-975      675   159 675   2h 0000C350h 23  200 100 1069   516 FFB0h 100 1069  18 1  
-974      675   159 675   2h 0000C350h 43  200 100 1069   516 02A3h 100 1069  18 1  
-973      675   159 675   2h 0000C350h 63  200 100 1069   516 02A3h 100 1069  18 1  
-972      675   159 675   2h 0000C350h 83  200 100 1069   516 02A3h 100 1069  18 1  
-971      675   159 675   2h 0000C350h 103 200 100 1069   516 02A3h 100 1069  18 1  
-970      675   159 675   2h 0000C350h 123 200 100 1069   516 02A3h 100 1069  18 1  
-969      675   159 675   2h 0000C350h 143 200 100 1069   516 02A3h 100 1069  18 1  
-968      675   159 675   2h 0000C350h 163 200 100 1069   516 02A3h 100 1069  17 1  
-967      675   159 675   2h 0000C350h 183 200 100 1069   516 02A3h 100 1069  11 1  
-966      675   159 675   2h 0000C350h 2   200 100 1485   516 02A3h 100 1069  5  1  
-965      1069  160 1069  2h 0000C350h 22  200 100 1475   516 02A3h 100 1069  30 1  
-964      1069  160 1069  2h 0000C350h 42  200 100 1475   516 042Dh 100 1475  18 1  
-963      1069  160 1069  2h 0000C350h 62  200 100 1475   516 042Dh 100 1475  18 1  
-962      1069  160 1069  2h 0000C350h 82  200 100 1475   516 042Dh 100 1475  18 1  
-961      1069  160 1069  2h 0000C350h 102 200 100 1475   516 042Dh 100 1475  18 1  
-960      1069  160 1069  2h 0000C350h 122 200 100 1475   516 042Dh 100 1475  18 1  
-959      1069  160 1069  2h 0000C350h 142 200 100 1475   516 042Dh 100 1475  18 1  
-958      1069  160 1069  2h 0000C350h 162 200 100 1475   516 042Dh 100 1475  18 1  
-957      1069  160 1069  2h 0000C350h 182 200 100 3523   516 042Dh 100 1475  12 1  
-956      1069  160 1069  2h 0000C350h 1   200 100 2371   516 042Dh 100 1475  6  1  
-955      1069  160 1069  2h 0000C350h 21  200 100 2374   516 042Dh 100 1475  31 1  
-954      1475  161 1475  2h 0000C350h 41  200 100 2374   516 05C3h 100 2374  18 1  
-953      1475  161 1475  2h 0000C350h 61  200 100 2374   516 05C3h 100 2374  18 1  
-952      1475  161 1475  2h 0000C350h 81  200 100 2374   516 05C3h 100 2374  18 1  
-951      1475  161 1475  2h 0000C350h 101 200 100 2374   516 05C3h 100 2374  18 1  
-950      1475  161 1475  2h 0000C350h 121 200 100 2374   516 05C3h 100 2374  18 1  
-949      1475  161 1475  2h 0000C350h 141 200 100 2374   516 05C3h 100 2374  18 1  
-948      1475  161 1475  2h 0000C350h 161 200 100 2374   516 05C3h 100 2374  18 1  
-947      1475  161 1475  2h 0000C350h 181 200 100 326    516 05C3h 100 2374  12 1  
-946      1475  161 1475  2h 0000C350h 0   200 100 1926   516 05C3h 100 2374  6  1  
-945      1475  161 1475  2h 0000C350h 20  200 100 1951   516 05C3h 100 2374  31 1  
-944      2374  162 2374  2h 0000C350h 40  200 100 1951   516 0946h 100 1951  18 1  
-943      2374  162 2374  2h 0000C350h 60  200 100 1951   516 0946h 100 1951  18 1  
-942      2374  162 2374  2h 0000C350h 80  200 100 1951   516 0946h 100 1951  18 1  
-941      2374  162 2374  2h 0000C350h 100 200 100 1951   516 0946h 100 1951  18 1  
-940      2374  162 2374  2h 0000C350h 120 200 100 1951   516 0946h 100 1951  18 1  
-939      2374  162 2374  2h 0000C350h 140 200 100 1951   516 0946h 100 1951  18 1  
-938      2374  162 2374  2h 0000C350h 160 200 100 1951   516 0946h 100 1951  18 1  
-937      2374  162 2374  2h 0000C350h 180 200 100 1951   516 0946h 100 1951  12 1  
-936      2374  162 2374  2h 0000C350h 200 200 100 1919   516 0946h 100 1951  6  1  
-935      2374  162 2374  2h 0000C350h 19  200 100 1915   516 0946h 100 1951  31 1  
-934      1951  163 1951  2h 0000C350h 39  200 100 1915   516 079Fh 100 1915  18 1  
-933      1951  163 1951  2h 0000C350h 59  200 100 1915   516 079Fh 100 1915  18 1  
-932      1951  163 1951  2h 0000C350h 79  200 100 1915   516 079Fh 100 1915  18 1  
